,restaurant_name,address,category,location,price_level_G,curbside_pickup,delivery,dine_in,takeout,types,top_5_reviews,restaurant_type_x,avg_price_x,comments_x,url_x,delivery_fee_x,restaurant_type_y,url_y,restaurant_subtype,comments_y,avg_price_y,total_rating,avg_rating,avg_delivery_time
23,Dairy Queen Grill & Chill,2795 Saw Mill Run Blvd,fast food,"(40.3786482, -79.9899765)",1.0,,True,True,True,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']","[""My favorite DQ is in East Liverpool,  OH. This one had a lot to live up to..;) This one didn't have my popcorn shrimp or fish sandwich. Expected them to all have the same. Disappointed but big deal. Yummy hot dog and onion rings though."", ""Horrible with door dash.\nLast 4 times really sucked.\nJust highlighting this last order, 2 burger combos 1 no lettuce, pretzels, pumpkin blizzard, and a brownie blizzard no chocolate nibs add fudge.\nReceived: 2 burgers both with lettuce no fries, pumpkin blizzard, brownie blizzard with nibs no fudge.\n\nIt was reported to door dash who reimbursed for the fries, woo hoo.\n\nCalled there to complain, was told by manager he couldn't do anything just call dd.\n\nThere is something he can do, how about doing YOUR job, quality control, making sure what is ordered is actually in the bags before leaving the premises.\n\nWe'll, gtg the side I had to cook is almost ready to eat with our now cold burgers.\n\nWon't be ordering again and the owners need to take a look at their management."", ""Very dissatisfied with ice cream cone. The young girl handed it out the window and cone was dripping down the sides. The\n3 young girls working there were giggling because it was melting. It is only 63 degrees outside so it wasn't due to the weather.  Dairy Queen should have a mature person to run the store in the evening hours."", 'DQ ice cream is always good. The servers get it done at lightning speed at the drive thru even on the busiest days! Friendly, polite, pros. Bravo!\n(Buy the truck for sale nearby. No its not mine)', ""I stopped in on a Sunday morning/early afternoon to grab an ice cream cake and was greeted by a very friendly employee.. he took the time to explain each ice cream cake case. It's nice to see great customer service especially nowadays. Great people working here! Oh, and the ice cream cake was delicious :)""]",,,,,,,,,,,508,4.1,0.0
24,Wendy's,725 Allegheny Ave,fast food,"(40.4502649, -80.01888199999999)",1.0,False,True,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Unfortunately the workers seemed confused and overwhelmed with taking dine-in, drive through, and mobile orders. So it took about 30 minutes to get my dine-in order ready. The staff wasn’t rude but they definitely need more training.', 'Took 45 min to get through the drive through.  Then get a smashed sandwich with fingerprints on the burger bun in catsup. The fries were obviously overdone and brown.  This place deserves to go out of business.  Stay far away. And found hair in my burger.  The speaker where you give your order is filthy and had multiple prices of gum on it.  The outside of the building was filthy with garbage all over the place.', 'Ordered a JR bacon cheeseburger combo AND….I got the wrong sandwich! They gave me a junior cheeseburger with onions and mustard which I despise! Then as I was picking off all those NASTY toppings…. Something black in color caught my eye! Upon closer examination I found out it was a hair!!!!! A LONG (atleast 22 inches) black strand of HAIR!!!I physically had to PULL it out Bc it was INSIDE and wedged between bun and beef patty!! (Looked like weave hair) I googled Wendy’s on ALLEGHENY AVE (north side-Pittsburgh ) phone number and called… I explained to the manager what had happened and his EXACT response was “ A hair? Well bring it back so I can look at it!”\nLike are you freaking serious right now? How unprofessional! I called to let them know so it doesn’t happen to someone else (I’m in food service industry and I know how tough it is right now) the call was an informative call and I feel as though the person who is running your business (ur manager) was rude, unprofessional and condescending! He acted as if I was trying to deceive him over a $2 sandwich!!! Like PLEASE little boy, I have better and more important things to worry about than a fast food meal!!!! Needless to say I will NEVER patronize this store ever again! I’d rather go across the street to McDonalds or Wendy’s!!!!!', ""I've attempted to go to this Wendy's multiple times.\nDo not.\nPoor staff\nPoorly run.\nGo to another Wendy's.\nI live right near here and I refuse to go anymore.\nCustomer service, awful.\nWork ethic, terrible.\nLong waits.\nClosest early.\nOrders wrong.\nDon't go.i really hope it just closes. Apparently anyone working here doesn't care about employment so wouldn't matter."", 'This is by far the worse Wendy’s in the city!! Every time I come here I wait a very long time for my food and then when I get my food it’s never the food that I ordered always something completely different from what I ordered! The girls that work here are very inconsiderate and careless! And the amount of time you wait to even be greeted is beyond me! Drive through process is about an hour no matter what hat time of the day or night you pull in. And going inside to order is more complicated than it should be for a fast food restaurant! Never again! I’ve given Wendy’s many chances after calling and speaking to multiple managers with the same result! They should be reported!']",,,,,,,,,,,1583,3.0,0.0
25,Wendy's,891 Freeport Rd,fast food,"(40.486926, -79.89063349999999)",1.0,False,True,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","[""It truly must depend on whose working bc I've had both good and bad experiences from this particular Wendy's. I went there twice in 2 days and one was very bad amd once was just fine. I'll be showing the pictures of a Baconator I bought from there just 2 days ago!"", ""They have a worker at the window. She is the most rude person. She treats costumers bad, someone needs to teach this worker to be polite, otherwise do not have a job like that. Her name is\nI' REONA. I don't think we will go back to that Wendy's"", ""After around 6 hours of sitting in St Margaret's hospital waiting for my mother to come out of a very serious surgery, i was starved. All i wanted was 3 jr bacons. Would it have been that da*ned hard to NOT play on your phone WHILE making my sandwiches, and using the same glove? Then, while i make my concerns known to the cashier, she looked at me like i just defacated right in front of her, and two other employees smirked at me.\n\nI PAID for my cross contaminated food, AND they had the nerve to not remake my food.\n\nBeware"", 'Great place to stop for food, drive thru line is always long  :-(', 'Always slow (but my kids love it so we go anyways once in a while). But sometimes they get the order wrong as well. Like today, I ordered a grilled chicken sandwich with bacon (1.50 extra), only to get NO bacon and SLIMY, rotten greens. Blech!!!']",,,,,,,,,,,516,3.6,0.0
26,Arby's,5205 Library Rd,fast food,"(40.333901, -80.023612)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","[""Arby's food is always great. Your Team did great. I am truly grateful for the food service industry, after A hard Day's work, the last thing I want to do is cook dinner and then clean up afterwards, Thank You for what you do. Such a shame I won't be visiting for a while can't afford Old Joe and his wacky gas prices."", 'Wow! This is hanging on the speaker! Is this what customer service has come to? Slowest drive thru ever, may want to avoid this store.', 'Ordered ONLINE. Ordered Turkey and Swiss, NO LETTUCE, TOMATO, ONION, MAYO. Standard sandwich with everything on it in bag. Ordered Horsey Sauce and Ketchup, GOT ARBYS SAUCE. French Fries were SOOOO COLD, had to be hours old. No Napkins in bag. ALL YOU HAD TO DO IS READ ORDER AND PACK BAG. Prepaid with AMEX.', ""Truly the best Arby's. Great service and drive thru is always quick. Wish they were consistently open to midnight or later."", ""Nice staff,well run,hot fresh food. Zero complaints and have been here quite a few times and never disappointed...the exact opposite of the closest McDonald's""]",,,,,,,,,,,423,4.2,0.0
27,Arby's,2040 Lebanon Church Rd,fast food,"(40.3478682, -79.9486147)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['This is the last time I\'ll come here. I will say the person taking my order was nice but the cashier at the window I have no clue what her problem is. I ordered a 5 piece meal with a loaded fry and I just feel this was made so lazy. I could see if I had a large order but I literally ordered one simple meal and couldn\'t be treated accordingly. I asked for extra sauce and asked her was the extra sauce in the bag for her to tell me ""yes I can go"". When I get home my fries look like this ,no sauce and no straw for my drink', ""Well, I didn't receive my entire order. I went in to order since drive thru was 8 cars deep. I was the only 1 at the counter to order. I order a meal of buffalo chicken breast sandwich and did not receive the crinkle fries. Ordered a kids nugget meal and didn't receive the curly fries. Ordered the buffalo chicken nuggets and they are great. Ordered the usual 2 beef sandwiches.  I actually asked if everything was in the bags and of course assured that all was there. Disappointing"", ""Very happy with the service I received here my past few visits. Food comes out timely and correctly. Inside of the store is always clean. They seem to have problems with the beverage fountain in the lobby. I came in twice and it was being serviced both times. They give you your drink from the drive thru dispenser, so it's not really I problem."", 'Mostly known for their meats and curly fries, they have recently introduced crinkle fries and a spicy version of their Gyro sandwich. Since I am a fan of their regular Gyro sandwich, and wanted to try the crinkle fries, I was looking for an opportunity to stop by for a taste. That opportunity arrived.\n\nThis location is immaculate and the employees are first rate. When I ordered my food, the employee who took my order punched in curly fries – probably because he misheard me due to my wearing a mask. When I noticed that, and pointed it out to the employee who gave me my food, that employee immediately turned around and got another bag, loaded it with crinkle fries, asked me what sauces I wanted for the crinkle fries, and did not even take the curly fries back. Major kudos to store management for excellent customer service training!\n\nThe crinkle fries were good. However, they were not as unique as the curly fries so I am not sure whether I will go out of my way to get them again. Arby’s curly fries are much more unique in the world of fast food places. The spicy gyro sandwich is their normal gyro sandwich with an added splash of some sort of spicy sauce. It was a nice addition and I will definitely do that version in the future.\n\nAs I wrote above, the place itself is immaculate. The dining room is open (unlike what Google Maps shows) and I enjoyed eating inside and observing the employees in action. Arby’s – and this location – have definitely got things working right!', ""Great food and the service is good. Only issue is the cashier charged me extra for a drink that should've been included in the meal or she should of told me it was extra. I didn't know until after I paid and it was too busy to make an issue of it! So be careful when ordering.""]",,,,,,,,,,,954,4.1,0.0
28,Wendy's,2280 Lebanon Church Rd,fast food,"(40.3483848, -79.9397595)",1.0,False,True,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","[""Went a few times in the last few weeks, staff are pretty quick with taking orders and friendly enough. Making the food is pretty quick, much faster than other Wendy's I've been to. But they have the bad tendency of giving less fry's then they should. And when asked why they always say it's the right amount. But when I go down a few days later they give me the normal amount. Last thing there pretty bad at closing there dining room, they have it closed as early as 2:30PM. Besides that there pretty on point, and more times then not they do everything right."", 'This location is usually very busy, probably because it’s the only one open in the area. If you are lucky, you will receive good service. I am not blaming the employees entirely, mainly because of the sheer amount of people who go through the drive thru daily. The one time I didn’t pull out of the drive thru the food was decent and consistent. Plus the food was ready when we pulled up to the second window.', ""Only giving one star because I have to. The lady that worked the drive through couldn't understand English. I wanted 2 hamburgers and 2 cheese burgers. She said so that is a total of 4 cheese burgers. I had to repeat my order several times. When I finally got my order. All the sandwiches had cheese, mayo, ketchup, mustard, onion, and lettuce. They can't get orders right."", ""Totally messed up my order. I order a spicy asiago combo with no tomatoes.  I received a grilled chicken sandwich with some sweet sauce with tomatoes.  I am highly allergic to tomatoes.  Can't even have it corrected because it was delivered through door dash"", 'Ordered through the app. Little bit of a wait both times we’ve ordered this week. Food was good but app needs a way to specify condiments. Ended up without butter for the potato.']",,,,,,,,,,,1200,3.6,0.0
29,Arby's,3435 Forbes Ave,fast food,"(40.4392291, -79.960588)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['This place definitely will stay in my favorites after very first visit. It was so clean you probably would like to wipe water circle from table after your cup!\nPleasant gentleman was courteous and friendly, he prepared my order very fast, and sandwiches was just great!\nIt was quiet and relaxing time in a middle of very busy day for me, and friendly place with nice not too loud music was exactly what I needed', ""Probably the cleanest and nicest Arby's I've ever been to. Staff is very friendly at this location as well. The food is about as mediocre as any other Arby's but this is probably the only Arby's I'd consider going back to."", ""I went there Thursday Aug 18th around lunch. 12-1pm. They made my sandwich perfect.  I asked for it to be chipped thin roast beef and cheddar and they gave me no problem and the food was perfect.  Everywhere I go, for some reason every other arbys they tell me they can't do that, or say yes and just give you a sandwich sliced and then tell me there is nothing they can do. Thank yiu to everyone at the Oakland Arbys. You made my lunch great. I went back 2 days later and it was a totally different crew and they all did the same as the other crew and made my food correct. The guy on the slicer even said I don't know why anyone would make a big deal about chipping the roast beef. It's easy, we all have same slicers. Thank you again Oakland arbys crew/ crews Pittsburgh pa\nMonday Aug 22nd. 2pm.\nOrdered my usual, beef and cheddar chipped thin. First sandwich was sliced but they all immediately apologized a d gave me my chipped thin sandwich. Not sure what it is a out all the crew over there but they are amazing and deserve props, recognition and more money. Thank you to everyone at the Oakland Pittsburgh pa forbes ave Arby's. Not sure how to make a fresh review that's why I keep adding to the original."", 'Terrible, I ordered the prime rib with peppers and onions, and when I got 3 miles down the road in Pittsburgh traffic; I realized there was no peppers and onions on the $10 sandwich.', ""Employees inside doors locked at 530pm? Lights on says open. I haven't eaten today working non stop all day was able to just fit this into my schedule s and they aren't open no time to find and go somewhere  else""]",,,,,,,,,,,136,4.1,0.0
30,Dairy Queen Grill & Chill,1223 E Carson St,fast food,"(40.428899, -79.9854865)",1.0,,True,True,True,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']","['Been stopping in just a few times since spring. Usually 4-6pm. Usually short staffed (like everyone else) but consistent with getting orders completed. Place was generally clean and orderly.\nI love their (200 calorie) low calorie/sugar 3.5 Oz Dilly Bar and the (50 calorie) fudge bar, located in the self service freezer.\nAlso usually get a large chocolate or vanilla cone. Flavor is consistent and good.', ""Evening staff was extremely rude and seemed annoyed that we were there. Didn't follow instructions, spoke and acted unprofessionally. We left before completing our ordering process and went to a different location to eat. No parking at the store but there is a pay lot and very limited on street parking nearby."", 'The girl at the register was ""uninterested"" and standing there drinking her drink. She wasn\'t rude, just a bit unprofessional.', 'Edited, different workers, different manager, lobby is always clean. They get busy some times, so does everyone on this street. Wonderful place to pick up a quick lunch or dinner.', ""Got a double cheeseburger and fries the burger was very salty and the Fry was not cooked all the way I'll never go back""]",Fast Food,7.031891891891892,"{'Good food', 'easy to use.', 'Excellent . Di went above and beyond to assure the delivery was made'}",https://www.ubereats.com/store/dairy-queen-grill-%26-chill-1223-e-carson-st/btH0NtlIQV2lr2_VvqAbHA,,,,,,,597,3.9,0.0
31,Arby's,1378 Banksville Rd,fast food,"(40.414676, -80.030613)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","[""After waiting 25 minutes in line (Yes, I timed it) general manager is running the drive thru. I guess this is a large? Receipt is someone else's order, employee Rebecca on receipt, but I think it was a William, either way never had an issue at this location especially when Melissa is working, she's the best! Everyone else seems to need training.\nAlso who maintains drive thru/ parking lot? Penndot?"", 'The sign in the window says ""Dining Room Open"", but the front door is locked. Saturday, July 23rd, 12:45.\n\nI went somewhere else...\n\nEdit, in response to ""the owner"":\nNo, you weren\'t closed. The Drive-Thru was open, but I didn\'t feel like eating in my car.\n\nDo you even know what is going on at your restaurant?', 'I just came here at 8:00 on a wed and sat at the order screen for 5 minutes. Drove up to the window with no answer opened the little window and said hello and the guy with the microphone on jumped up from lounging in the booths to then run around the register to say that sorry bro we’re closed we gotta cook something. Then proceeded to say they would be open back up in 15 minutes. All the lights were on and there was 1 singular customer in the restaurant who looked extra comfortable. Who knows what type of business they are running here. Definitely not good', ""It's a pretty old building facade (which I assume is on purpose), and it's really difficult to get to from the inbound city lanes unless you know what you're doing. The food has always been good, but given that it's only really accessible to half the traffic, a 3-star rating is appropriate."", ""I grew up the street from this place Was a frequent patron all my life growing up visiting my parents today and thought I'd stop for old times sake  And bring my parents a sandwich big sign in the window saying dining room open but it was not drive-through only was open Going through the drive-through I noticed the building was in such disrepair there's even trees growing out of the entry way which is visible on their picture on this website The building is surely neglected which makes you wonder what else is""]",,,,,,,,,,,567,3.9,0.0
32,Arby's,1911 S Braddock Ave,fast food,"(40.4227057, -79.88565799999999)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['I got a sandwich weeks ago that had onions on it and the manager at the time said when I come back he will take care of it. Today the general manager was there, told her the back story,  she trusted me and not only did she replace my sandwich but also the additional items I ordered, I was not charged for. Now that is what I call great customer service! Arby’s in Swissvale keep up the great work!', ""I got the new burger and wanted curly fries but they were out so I had to get there crinkle fries. Also got 4 prov sticks and a pop. By the time I got home (2 min away) my food was cold. The sauce on the burger was runny which made my bun fall to pieces, my cheese wasn't melted, crinkle fries were old n cold, prov sticks cheese was cold. The pop was good. Needless to say...i took it back and just got my money back."", ""It was okay on the inside. I'd say it looked a bit outdated and not as clean as can be. However, the food was tasty. Some employees were friendly, some not so friendly. I haven't used restroom here so I can't say how clean or dirty it is. Parking are usually plentiful. Every time I went there no one is eating at the dining area."", 'Went inside. Place was empty. Ordered a reg roast beef and a double RB with lettuce and tomato.  Waited about 15 mins for food.  They gave us a double with lettuce and onions and something covered in melted cheese.  Two sandwiches and they screwed up both of them. Didn’t bother going back in to exchange. I’ll just never go back to those buffoons.  Arby’s in Swissvale at the light.', ""Cashier didn't give us our drinks after my friend paid he was busy eating.  I had to ask a employee she didn't she was putting food in a bag for drive threw the manager made our lemon aids. And I see to many teenagers playing around while working Manger didn't say anything.""]",,,,,,,,,,,910,3.9,0.0
33,Arby's,5189 Baum Blvd,fast food,"(40.4559585, -79.9424508)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['This location sucks, ordered classic roast beef and look how thick and chewy the meat was. I’ve never had an arbys sandwich like it. Waited in line for 25 mins, also jalapeño poppers were old.', 'I paid $36 of money that I do not have, and I received half of a sandwich and some cold french fries. Where is the aujus sauce, ranch, chicken and cheese sauce? Do better. That’s disgusting.', ""Sandwiches were good but no coffee or ice tea, just soft drinks. Soft drink station was a mess floor wet in many places but was not raining and the floor wasn't mopped though it needed it. Whole place was messy. Employees including manager were not very pleasant. Won't be going back to this Arby's."", ""Well, the staff was very pleasant. But if I had to go someplace for food again, it might not be that Arby's. I had an orange shake and took my first month full and it tasted just like I had dumped a bottle of baby aspirin in my mouth. I know I probably could have taken it back but I had a few steps in through it out. Then I watched somebody wipe the tables and chairs with the same cloth and realize that my table was quite sticky. This is a very busy Arby's and I understand that sometimes it's hard to keep up but those couple things really put me off and I probably will not go back there."", ""ALWAYS CLOSED OR THEIR SYSTEM IS DOWN! I've gone 5 times over the last two months & it's consistently closed & I got zero food!!!! They just close & do not put signs on their doors or anything. Tonight, the main Arby's sign proudly announces that the lobby is open, when in fact the lobby was closed & drive thru had a line of cars waiting & waiting with nobody there to take the orders or make the food. Completely worthless! DO NOT GO TO THIS LOCATION!""]",,,,,,,,,,,1031,3.8,0.0
34,Wendy's,60 Towne Square Way,fast food,"(40.3675143, -79.9829276)",1.0,False,True,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","[""If you're looking for a fast food restaurant that will fill you up without breaking the bank, then you need to head to Wendy's. The food here is delicious and there's something for everyone on the menu. Whether you're in the mood for a burger or a salad, you'll find something to your liking at Wendy's.\n\nThe service is always friendly and efficient, and the restaurant is clean and bright. I always leave Wendy's feeling satisfied and happy. So if you're looking for a great fast food option, be sure to check out Wendy's!"", 'Years ago, when I was younger, this location had the best customer service. It was a great place to stop when you needed a quick meal. Now, I don’t know what happened. The past 3 times I had been here, the service was terrible. My boyfriend was freaked out on when he asked for the cashier to repeat his total, food was left out of the bag on all 4 occasions, no apologies. I really don’t know what happened to this place, but it’s sad to see the management and the team members go downhill on a steep decline. I hate to say it, but I will not be visiting this location any longer.', ""Terrible. We ordered two signature lemonades that we received warm. We were not given straws for the three drinks. The salad was warm and soggy and we were given salsa and sour cream instead of salad dressing and the pecans. The burgers were not as I remembered. Overall very disappointed.\n\nUpdate: I submitted a complaint through their guest survey and requested to be contacted. It's been a month and I have not heard back regarding the unacceptable service I experience."", ""So im only giving 2 stars because 2 Sundays in a row i go through drive thru order bacon egg swiss croissant and large seasoned potatoes the girl doesn't tell me total just says pull around to 1st window i get to window she looks at me waiting for money when i dont know what total is then she asks what was the sandwich again then did you want 1 or 2 potatoes I clearly repeated my order again don't you know they give me 2 small seasoned potatoes and a sausage egg swiss croissant. This is 3nd sunday in a row with the same exact crew they need to fire the Sunday crew because they're not even polite have no courtesy or professionalism i guess when your young and its your 1st job you don't care. Moral of review stay away from Brentwood wendys on Sunday"", 'I ordered a burger and drink. Some homeboy that worked here was clucking at me while i was waiting for my food. And literally half the drinks in the pop machine were unavailable. I know its difficult to find employees right now but I cant see why anybody that does work would want to spend their money here.']",,,,,,,,,,,751,3.5,0.0
35,Bird On The Run,128 S Highland Ave,fast food,"(40.4602541, -79.925118)",2.0,,True,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Finally got a chance to stop here. Ordered nuggets, fish combo and a deluxe chicken sandwich to go. Got the level 1 oil and seasoning on the side. Turned the air fryer on when we got them home, mixed the seasoning and oil and added it to the sandwich, dropped both sandwiches in the air fryer for an extra crunch and the sandwiches were very, very good. Glad we had a chance to stop here to sample some items. No parking but found a spot around the corner on the street. Some seating available inside.', 'We only tried the strips and waffle fries - will have to go back for the beignets!\nAll were quite good and very fresh.. The chicken was maybe a little too fresh, as it was dripping in scalding hot oil that soaked the bag and made it hard to eat for a few minutes.. But it was very crisp and tender nonetheless.\n\nWe were initially nervous about their spice rankings because of the names (and based on our experience at Chikn), but found a 2 here to be more of a 1. It might just depend on who is working that day.\n\nMain complaint was that the tables inside were super sticky, like the wood finish got messed up with cleaning products.', ""I loved this place... but I can not order from here anymore.  First, if you order curbside, don't expect it. Their voicemail box is full, no one answers, and you have to go and find a parking spot to go in. What's the point of the option.  If you go to grubhub or doordash- the prices are more than if you were to pick it up--- anywhere from $.05 for a condiment-$2.00 for a meal. The food is decent however we ordered a 12 piece nugget and got a 6. We spent almost $50 for three people to eat and it was ABSOLUTELY not worth it. Soggy paper containers had one order of nuggets all over the bag as it was completely ripped through. Sadly, this was a go to for my co workers and I- not anymore."", 'Chicken Great - Staff quite rude\n\nCame here twice while I was in Pittsburg, level 4 was perfect for my desired spice. First time was during the day and went smoothly. Second time was a few days later and in the evening. Probably waited 20 minutes at-least before getting my order, while it wasn’t even busy. Gave me attitude when I asked about it after 15 minutes.', ""If I could give zero stars I would. My sister in law ordered delivery from this place while I was in town. I was excited to try it as there are no locations near where I live. We ordered at peak dinner time-around 6pm. The food was disgusting. The chicken tasted like it had been left out all day and then microwaved. Total rubber. The cheese on the sandwich was not even melted. I'm not exaggerating when I say the sandwich was inedible. The fries were cold, bland, and stale. I was starving and ended up having to throw the whole meal away. I'll gladly stick to Chik Fil A and Canes from now on ....""]",Fast Food,7.794999999999997,"{'The chicken deluxe was awesome', 'I enjoy bird on the run because their food is always fresh and up delicious they never disappoint! ☺️', 'Great food, fast service!', ""Bird on the Run's chicken sandwiches are incredible. The spices and breading are absolutely perfect."", 'The sandwiches are amazing.  Best coleslaw ever!', 'their deluxe chicken sandwich is soooo good', 'Delicious spicy chicken at a reasonable price! Fast, tasty, and always hits the spot 🐔 🔥', 'delicious chicken sandwich', 'really good chicken.', 'I love this place. Never failed to satisfy me.', 'Excellent experience. Shoutout to Chelsea for the great communication on the delivery.', 'Great chicken', 'One of the best chicken sandwiches in Pgh!', 'Great good. Great service', 'Not too many choices, great fries. Good fish.', 'Consistent burger!! Love the chicken deluxe', 'Good food, good deal. It also arrives super fast.', 'Bird on the Run is delicious! It’s like the non-homophobic Chick-fil-a and I love that the most', 'Best chicken sandwich I have found in Pittsburgh', 'Consistency is key. Even when i want to switch it up and order from a new place i havent tried yet, i always go back to Bird On The Run because its fresh, delicious, crisp, perfectly temped and timed...every. single. time.', 'Best Chicken I’ve tasted out of all the places I’ve ate from!', 'They’re chicken is really good', 'Spicy food! I love it!', 'One of the best places to get a tasty chicken sandwich in Pittsburgh!🤟😋', 'Literally the best chicken in Pittsburgh. Amazing fries too', 'Best chicken sandwich around', 'The food is delicious'}",https://www.ubereats.com/store/bird-on-the-run/BuAN6VNTQSe-jAaCnK9Kzg,,,,,,,1038,4.4,0.0
36,Chick-fil-a,1175 Freeport Rd,fast food,"(40.4882904, -79.8797196)",1.0,True,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","['Ordered 12ct of chicken nuggets was a joke. 7-8 small ct in total in a 12ct box. The box covered with flour and messy sauce. Chicken over fried, cold, and very salty than usual. Paid $19. This is one out of many times I didn’t get what I paid for. Disappointed.', 'I’ve been picking orders up here since they open and they’ve been fast and efficient even during the pandemic. Today, I picked up an order and they forgot the dressing with my wrap, which if you’re a fan of their creamy salsa dressing is really sad! They also forgot straws with the order. It’s so completely out of character for the restaurant. I called them, and since I live a bit further away, I didn’t want to go back. The manager, Jacob, made it right and was quite friendly. I really felt valued as a customer. Keep up the good work.', 'Ordered a spicy southwest salad with no tomatoes , black beans , or corn. told them i really only wanted the cheese and chicken lol. i got everything i didn’t want on it .. and no cheese .. terrible terrible terrible . and it wasn’t the girl who placed my order bcs she looked directly at me and asked me questions. so prob the people who get the food together.', 'Was ok at first opening and then took a nose dive in service and quality. I’m happy to report they must if hired all new people to run it as it is back to great service and quality. I have yet to see the Owner/Operator Micah Skipper here working the floor but he has good people like manager Will running things much better than before. He did add a free drink reward that expired in like a day so I felt kind of cheated there because we are here multiple days a week and yet this expired before we could even get there.', 'Customer service is abysmal. I’ve actually had downright rude experiences with some of the “hood” high schoolers they hire here. All for employing teens but don’t employ the rude ones. Missed one of my sauces today. My drinks were filled to the brim and would’ve spilled on me had I not noticed. Milkshake all down the side of the cup. No garbage in sight to throw the napkins away that I used to clean up the mess (Picture doesn’t show the worst of it). Asked about a worker said she would take them (annoyed it seemed). Not my fault your coworkers filled my drinks wayyyy more than they should have. Store was not busy so there really was no excuse. This is one of about 3 locations in Pittsburgh that are pretty trash. (Here and the waterfront definitely make the list).']",Fast Food,5.801176470588229,"{'Good!', 'It’s been days and I can’t stop thinking about how delicious this was. The grilled chicken nuggets were so soft and tender, they practically melted in my mouth. I was in recovery from oral surgery but this food didn’t irritate my mouth at all. Absolu', 'Really nice driver!', 'Delicious', 'Beautiful', ""I'm sure it was good but can't find my food, not sure if they left it outside""}",https://www.ubereats.com/store/chick-fil-a-1175-freeport-rd/F9vx2IwBTeuTUqO5NLLhCg,,American,https://www.doordash.com/store/chick-fil-a-pittsburgh-1528290/,American,"{'Fruit': 1, 'Cup': 1}",4.934473684210524,4189,0.6,0.0
37,Arby's,3700 Library Rd,fast food,"(40.36493000000001, -80.020293)",1.0,,False,True,True,"['restaurant', 'food', 'point_of_interest', 'establishment']","[""I don't know I keep coming back to this Arby's on Library road. They always forget to put something I ordered in the bag. This time they advise a new steak sub and the guy at the window said they're out of meat to make it (i gyess they don'thave te meats). Oh let me guess, it's covids fault. This is the last time I go to this Arby's. I will drive 15 minutes out of the way to find another one."", 'Online order to pick up via drive thru and told that I needed to come inside.  Asked why and they said because there was already someone in the drive thru line.  What sense does that make?  If I wanted to order from the speaker and there was already someone in line then that would be OK but not to pick up an order that was ready for pick up?   And the door closest to the drive thru is locked so you need to walk around the building.', ""First due to no one wanting to work this location still has dining room closed. So we went to the drive thru and ordered we tried to order a chicken sandwich they said they didn't have any chicken to make it. So we ordered the 2 for 6 dollar regular roast beef sandwiches and curly fries. Sorry we do not have any curly fries we were told.\nWhat no chicken no curly fries? Ok so we settle again and get crinkle fries instead.Now to order drinks I wanted a vanilla milkshake... Guess what ? They didn't have that either the machine was down apparently. So I ordered an iced tea instead. We also ordered some chicken nuggets as well.\nOk so we got our order at the drive thru window we drive away. Let's start with the iced tea it tasted kind of rank like it had been sitting a long time it was horrible. Next we get the crinkle fries that were just soaked with oil they had been dropped in the fryer too many times to reheat them I guess. You could squeeze a fry and see the oil dripping ok so now the tea and the fries are a loss at this point. So we move on the the chicken nuggets they were so dry and hard almost like they had been dehydrated yes they were that bad. By now my hopes of having a good sandwich are fading away. Opened a sandwich it was perfect I was surprised after the other food sucked. Ok now open the second sandwich the bun is all  mushy it appeared that this sandwich was made way earlier than the other one and had been sitting who knows how long. I generally like Arby's but things there seem to be going down hill because no one wants to work ."", 'I love Arby’s I have always been a fan! I came here and used my coupons from the Sunday paper and they let you use multiple coupons on the same order! I would have gave 5 stars but they were out of shake mix apparently for the evening and I was confused because they have 3 different flavors plus the specialty mint chocolate shake which I’m assuming is just chocolate and then they add the mint so I’m just like so you’re out of all 3 mixes? Wow smh', 'Food is always good but service sometimes can be horrible..... like today :( asked for auju sauce and the older woman with pink highlight in her hair gave me bbq instead. No biggie i tried to let her know of the mistake and she screamed at me. She needs some attitude adjustment classes and learn how to talk to customers']",,,,,,,,,,,548,4.0,0.0
